,date,close,diff,open,high,low,volume
465,2020-03-31,305000,2000,306500,309500,298500,492967
466,2020-03-30,303000,500,291000,307000,289500,473701
467,2020-03-27,303500,4000,313000,314500,292500,648602
468,2020-03-26,299500,8000,309500,314000,297500,720792
469,2020-03-25,307500,19500,310000,316500,296500,803831
470,2020-03-24,288000,20000,283500,297500,274000,966345
471,2020-03-23,268000,4500,249500,286500,248500,947838
472,2020-03-20,272500,42500,246000,273000,242000,1306067
473,2020-03-19,230000,50000,284500,285500,230000,1394682
474,2020-03-18,280000,26500,307500,312000,280000,946373
475,2020-03-17,306500,6000,295000,315500,294500,819960
476,2020-03-16,312500,28000,343000,348000,312500,747892
477,2020-03-13,340500,1000,315000,343500,313000,899561
478,2020-03-12,341500,23500,359000,367000,334500,1041370
479,2020-03-11,365000,8500,374000,377500,362000,447847
480,2020-03-10,373500,500,371000,380000,368000,660399
481,2020-03-09,374000,26000,383000,385500,373500,611394
482,2020-03-06,400000,6000,401000,404000,395500,357631
483,2020-03-05,406000,14000,407500,412000,402000,645954
484,2020-03-04,392000,5500,383500,398500,382000,478790
485,2020-03-03,386500,9500,393000,398500,384500,547921
486,2020-03-02,377000,9000,368500,385000,362500,514325
487,2020-02-28,368000,20000,376500,380000,366500,643995
488,2020-02-27,388000,7000,394000,398000,384000,345104
489,2020-02-26,395000,4500,394000,398000,387000,334971
490,2020-02-25,399500,4500,395500,400500,391500,478820
491,2020-02-24,395000,12000,392000,400000,391500,463848
492,2020-02-21,407000,12000,407000,416500,406500,400924
493,2020-02-20,419000,15000,408500,422000,406000,482732
494,2020-02-19,404000,14000,420500,421500,403500,766920
495,2020-02-18,418000,1500,418000,422000,415000,366288
496,2020-02-17,419500,6000,420500,422500,409000,514355
497,2020-02-14,413500,2000,416500,420000,412000,301730
498,2020-02-13,411500,3500,408500,418000,408000,448366
499,2020-02-12,408000,5500,408500,412000,403500,463511
500,2020-02-11,413500,26500,394500,420000,393500,983089
501,2020-02-10,387000,500,382500,390000,381000,291904
502,2020-02-07,386500,4500,377000,391500,377000,392312
503,2020-02-06,382000,0,374500,385000,372500,551088
504,2020-02-05,382000,2500,391000,391500,377000,731711
505,2020-02-04,379500,29500,364500,385000,361500,995237
506,2020-02-03,350000,12500,328500,351500,325500,594448
507,2020-01-31,337500,6000,349000,354000,335000,391298
508,2020-01-30,343500,8500,338500,347500,338500,642288
